PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
millsal01,Alan,Mills,Alan Mills,1990,2001,12,39,32,0.549295775,4.117924528,474,5,153,0,0,15,1908,636,577,306,291,83,395,46,456,21,0,32,2819,1.528301887,8.16509434,1.174528302,5.589622642,6.452830189,1.15443038,0,0,0,0,0,
millwke01,Kevin,Millwood,Kevin Millwood,1997,2012,16,169,152,0.526479751,4.112363686,451,443,3,22,6,0,8161,2720.33333,2770,1357,1243,296,843,46,2083,74,4,67,11616,1.328146062,9.16431811,0.979291755,2.78899645,6.891434882,2.470937129,85,42,0,0,0,
miltoer01,Eric,Milton,Eric Milton,1998,2009,11,89,85,0.511494253,4.993890889,271,270,0,9,4,0,4747,1582.33333,1665,935,878,267,453,14,1127,35,0,29,6826,1.3385296,9.47019172,1.518643357,2.576574684,6.410153795,2.48785872,39,32,0,0,0,
mingost01,Steve,Mingori,Steve Mingori,1970,1979,10,18,33,0.352941176,3.032497132,385,2,173,0,0,42,1754,584.66667,544,237,197,45,225,53,329,18,1,16,2491,1.315279354,8.374002233,0.692702391,3.463511953,5.064424144,1.462222222,0,0,0,0,0,
minnepa01,Paul,Minner,Paul Minner,1946,1956,10,69,84,0.450980392,3.942508278,253,169,44,64,9,10,3931,1310.33333,1428,656,574,122,393,12,481,10,5,17,5617,1.38972272,9.808191325,0.837954721,2.699313159,3.303739515,1.223918575,0,0,0,0,0,
mintogr01,Greg,Minton,Greg Minton,1975,1990,16,59,65,0.475806452,3.096403293,710,7,415,0,0,150,3392,1130.66667,1082,452,389,43,483,131,479,16,9,56,4810,1.384139147,8.612617899,0.342275942,3.844634423,3.8127948,0.991718427,0,0,0,0,0,
mirabpa01,Paul,Mirabella,Paul Mirabella,1978,1990,13,19,29,0.395833333,4.448965948,298,33,88,3,1,13,1499,499.66667,526,284,247,43,239,29,258,13,1,17,2236,1.53102067,9.474316148,0.774516339,4.304869885,4.647098034,1.079497908,0,0,0,0,0,
mitchcl01,Clarence,Mitchell,Clarence Mitchell,1911,1932,18,125,139,0.473484848,4.124492558,390,278,77,145,12,9,6651,2217,2613,1215,1016,116,624,0,543,52,4,38,9686,1.460081191,10.60757781,0.470906631,2.533152909,2.204330176,0.870192308,0,0,0,0,0,
mitchwi01,Willie,Mitchell,Willie Mitchell,1909,1919,11,84,92,0.477272727,2.878676471,276,190,64,93,16,4,4896,1632,1464,725,522,14,605,0,921,75,6,48,6796,1.267769608,8.073529412,0.077205882,3.336397059,5.079044118,1.52231405,0,0,0,0,0,
mlickda01,Dave,Mlicki,Dave Mlicki,1992,2002,10,66,80,0.452054795,4.716603557,262,193,20,6,2,1,3698,1232.66667,1337,709,646,171,472,32,834,58,2,46,5468,1.467550023,9.761763089,1.248512706,3.446187119,6.089237409,1.766949153,14,18,0,0,0,
moehlbr01,Brian,Moehler,Brian Moehler,1996,2010,14,84,107,0.439790576,4.806252669,332,252,40,11,6,1,4702,1567.33333,1834,897,837,199,454,37,859,36,3,25,6844,1.459804342,10.53126332,1.142705234,2.606975761,4.932581891,1.892070485,45,26,0,0,0,
moffira01,Randy,Moffitt,Randy Moffitt,1972,1983,12,43,52,0.452631579,3.651450528,534,1,306,0,0,96,2344,781.33333,766,355,317,61,286,73,455,24,1,32,3380,1.346416388,8.823378877,0.702645054,3.294368615,5.241040978,1.590909091,0,0,0,0,0,
